Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [02/Jan/2025 11:34:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:34:46] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:34:46] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:36:40] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [02/Jan/2025 11:36:40] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Jan/2025 11:36:40] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jan/2025 11:43:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:43:51] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jan/2025 11:43:51] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:56:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2025 11:56:27] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Jan/2025 11:56:27] "GET /script.js HTTP/1.1" 200 -
